last_name, first_name,player_id,year,wobacon,oz_swing_percent,whiff_percent,swing_percent,f_strike_percent,class
Nava, Daniel,537953,2015,0.255,22.5,18.7,40.9,53.6,B
Garcia, Avisail,541645,2015,0.356,42.7,31.1,58.8,65.6,H
Perez, Hernan,541650,2015,0.315,40.7,26.2,57.9,67.6,H
Bethancourt, Christian,542194,2015,0.268,45.6,27.4,60.9,70.6,H
Perez, Carlos,542208,2015,0.314,28.1,16.5,45.7,64,B
Inciarte, Ender,542255,2015,0.342,34.6,11.1,48.7,62,F
Ozuna, Marcell,542303,2015,0.361,32.3,26.1,47.7,61.9,H
Villar, Jonathan,542340,2015,0.395,29.4,25.1,46.9,61.7,G
Santana, Danny,542454,2015,0.294,40.2,25.5,57.2,67.9,H
Beckham, Tim,542921,2015,0.404,31.9,33.5,49.8,62.8,G
Burns, Billy,542993,2015,0.349,36.9,16.2,58.5,67.9,F
Butler, Joey,542994,2015,0.437,34.4,35.2,52.1,62.7,G
Crawford, Brandon,543063,2015,0.394,32.3,27.9,51.8,62.4,G
Cron, C.J.,543068,2015,0.379,39.1,22.1,50.7,60,E
Giavotella, Johnny,543213,2015,0.315,26.3,14.8,45.6,61.4,B
Gillaspie, Conor,543216,2015,0.309,34.9,23.6,50.9,55.3,F
Gomes, Yan,543228,2015,0.364,34.4,23.8,52,64.5,F
Gose, Anthony,543238,2015,0.379,30.6,26.2,50,62.6,G
Harrison, Josh,543281,2015,0.35,38.3,20.1,54.2,62.8,F
Herrmann, Chris,543302,2015,0.275,35.8,33.5,52.9,68.1,H
Hicks, Aaron,543305,2015,0.342,22.3,20.4,44.9,59.5,B
Hosmer, Eric,543333,2015,0.393,31.4,20.5,45.5,57,E
Joseph, Caleb,543376,2015,0.345,30.1,23.4,47.9,65.3,F
Kipnis, Jason,543401,2015,0.393,25.6,16.8,43.3,56.2,A
Lavarnway, Ryan,543432,2015,0.31,26.5,28.8,44.2,56.6,D
Lawrie, Brett,543434,2015,0.381,34.9,26.3,48.7,63.6,G
Mahtook, Mikie,543484,2015,0.548,31.9,30.5,49.1,57.4,G
McCann, James,543510,2015,0.359,36.7,24.9,52.4,62.8,H
Miller, Brad,543543,2015,0.361,28.9,24.9,48.7,64,H
Nieuwenhuis, Kirk,543590,2015,0.391,25.3,32.2,45.5,63.1,C
Rendon, Anthony,543685,2015,0.343,16.9,16.1,37.5,59.2,B
Sands, Jerry,543742,2015,0.374,27.4,29.4,44.5,60.9,C
Semien, Marcus,543760,2015,0.37,24.1,22.4,43.8,58.2,A
Shaw, Travis,543768,2015,0.426,31.8,21.5,46.5,61.7,E
Shuck, JB,543776,2015,0.294,23.3,12.9,42.3,52.7,B
Springer III, George,543807,2015,0.432,20.9,32.6,45.6,61.2,C
Strange-Gordon, Dee,543829,2015,0.378,37,13.8,51.9,65.1,E
Wong, Kolten,543939,2015,0.332,32.9,19.4,50.4,56.3,F
Gregorius, Didi,544369,2015,0.322,34.7,22.5,51.8,63.3,F
den Dekker, Matthew,544925,2015,0.391,27.9,22.1,45.8,54.5,A
Franklin, Nick,545338,2015,0.31,31.9,37.1,51.9,56,H
Grichuk, Randal,545341,2015,0.524,32.9,31.6,51.5,63.7,G
Marisnick, Jake,545350,2015,0.377,32.3,28.6,52,65.1,G
Trout, Mike,545361,2015,0.513,22.5,22,37.4,56.7,A
Herrera, Odubel,546318,2015,0.415,35.2,24.9,50,62.9,G
Harper, Bryce,547180,2015,0.549,25.6,26.7,44.2,54.7,C
Perez, Roberto,547379,2015,0.405,15.7,26.9,37.3,58.4,C
Martin, Leonys,547982,2015,0.3,32.9,25.5,47.7,68.7,H
Abreu, Jose,547989,2015,0.437,34.7,24.9,48.7,57.8,G
Suarez, Eugenio,553993,2015,0.413,25.1,25.3,45.5,65.3,C
Ackley, Dustin,554429,2015,0.338,23.1,16.3,41.3,55.3,B
Polanco, Gregory,570256,2015,0.342,29.2,19.5,44.8,57.4,F
Santana, Domingo,570267,2015,0.46,23.5,33.9,44.2,56.7,C
Urshela, Gio,570482,2015,0.305,39,21,57.4,65.6,F
Sanchez, Yolmer,570560,2015,0.297,32.3,20.6,49.3,61.4,F
Schoop, Jonathan,570731,2015,0.434,42.6,31,60.9,66,G
Adams, Matt,571431,2015,0.343,38.3,23.4,52.5,59.7,F
Altherr, Aaron,571437,2015,0.428,21.5,25.5,41.2,59.6,C
Arenado, Nolan,571448,2015,0.435,35.7,21.1,53.1,60.3,E
Barnhart, Tucker,571466,2015,0.303,28.8,16.8,49.6,65.3,F
Bour, Justin,571506,2015,0.417,32.7,27.6,45.4,52,G
Gennett, Scooter,571697,2015,0.339,41.3,18.1,56.3,66,F
Hamilton, Billy,571740,2015,0.269,27.6,16.7,46.8,64.3,B
Hernandez, Enrique,571771,2015,0.436,31.8,26.5,47.6,55.5,G
Holt, Brock,571788,2015,0.358,24.8,15.1,40.6,62.5,B
Lamb, Jake,571875,2015,0.38,24.8,25.5,42.1,56.4,C
Muncy, Max,571970,2015,0.358,21.7,24.8,41.3,58.9,B
Murphy, John Ryan,571974,2015,0.396,28.2,20.6,48.4,62.2,A
Myers, Wil,571976,2015,0.384,23,24.4,41.9,60.5,A
Owings, Chris,572008,2015,0.325,35.9,25.8,53.6,66.8,H
Paulsen, Ben,572019,2015,0.433,36.4,32,56.7,64.4,G
Phegley, Josh,572033,2015,0.381,35.8,23.2,52.5,61.3,E
Piscotty, Stephen,572039,2015,0.443,28.8,23.6,49.9,61.3,E
Pollock, AJ,572041,2015,0.4,28.9,16.7,46.3,63.7,E
Seager, Kyle,572122,2015,0.361,28.4,17.6,45.4,58.5,B
Susac, Andrew,572180,2015,0.368,21.4,30.2,44.3,62.8,C
Taylor, Michael A.,572191,2015,0.376,32.1,33.3,52.2,65,G
Thompson, Trayce,572204,2015,0.446,25.6,27,42.7,55.6,C
Zunino, Mike,572287,2015,0.322,30.1,34.5,50.2,66.8,H
Goins, Ryan,572365,2015,0.327,27.4,18.1,43.5,63.1,B
